scholarship_id,name,coverage,administering_agency,category_focus,education_level_min,education_level_max,income_limit_inr,caste_eligibility,gender_eligibility,disability_eligibility,domicile_requirement,age_limit_note,academic_requirement,application_portal,official_website,last_known_application_window,benefits_summary,documentation_required,notes,verify_2025
AI-CSSS,Central Sector Scheme of Scholarships for College & University Students,All India,Ministry of Education (MoE),"Merit, Income",Class 12,UG,800000,All,All,Optional,India,<= 18–25 typical for entry,80%+ in Class 12 in relevant board,NSP,https://scholarships.gov.in,Typically Aug–Nov,Annual scholarship for UG students based on Class 12 merit,"Aadhaar, bank passbook, Class 12 mark sheet, income certificate",Map to course type and board,yes
AI-NMMS,National Means-cum-Merit Scholarship (NMMS),All India,Department of School Education & Literacy,"Merit, Income",Class 8,Secondary,150000,All,All,Optional,India,As per state rules,Qualify NMMS test; min % in previous class,NSP / State portals,https://scholarships.gov.in,Varies by state; usually Sep–Dec,Annual stipend to meritorious class 9–12 students of govt/aided schools,"Income certificate, previous marks, school certificate",Keep track of renewal each year,yes
AI-PRAGATI,AICTE Pragati Scholarship for Girls (Technical),All India,AICTE,"Women, Technical",UG,UG,800000,All,Female,Optional,India,As per AICTE norms,Admission in AICTE-approved first-year technical program,NSP / AICTE,https://www.aicte-india.org/,Typically Oct–Dec,Fixed amount per year + contingency for girl students in technical programs,"Admission proof, AICTE approval, income certificate",Seat through centralized counselling preferred,yes
AI-SAKSHAM,AICTE Saksham Scholarship for Students with Disability (Technical),All India,AICTE,"PwD, Technical",UG,UG,800000,All,All,Required (>=40% disability),India,As per AICTE norms,Admission in AICTE-approved first-year technical program,NSP / AICTE,https://www.aicte-india.org/,Typically Oct–Dec,Annual support + contingency for PwD students in technical courses,"Disability certificate, admission proof, income certificate",First-year entry usually required,yes
AI-TOPCLASS-SC,Top Class Education Scheme for SC Students,All India,Ministry of Social Justice & Empowerment,SC,UG,PG,800000,SC,All,Optional,India,As per scheme,Admission in notified institutions; merit + income,NSP,https://scholarships.gov.in,Usually Aug–Nov,"Tuition fee, living expenses, books, computer, etc.","Caste certificate, income, admission letter",Institutions list notified by MSJ&E,yes
AI-TOPCLASS-ST,Top Class Education Scheme for ST Students,All India,Ministry of Tribal Affairs,ST,UG,PG,800000,ST,All,Optional,India,As per scheme,Admission in premier institutions,NSP,https://scholarships.gov.in,Usually Aug–Nov,Full tuition + living + other allowances,"ST certificate, income, admission",Institution list notified by MoTA,yes
AI-PMS-SC,Post Matric Scholarship (PMS) for SC Students,All India,Ministry of Social Justice & Empowerment + States,"SC, Income",Post-Matric,Post-Doctoral,As per state/center,SC,All,Optional,Domicile of state,As per state,Studying in recognized institution,NSP / State,https://scholarships.gov.in,State-wise calendar,Maintenance allowance + fees (as per norms),"Caste, income, institution verification",State-implemented CSS,yes
AI-PMS-ST,Post Matric Scholarship (PMS) for ST Students,All India,Ministry of Tribal Affairs + States,"ST, Income",Post-Matric,Post-Doctoral,As per state/center,ST,All,Optional,Domicile of state,As per state,Studying in recognized institution,NSP / State,https://scholarships.gov.in,State-wise calendar,Maintenance allowance + fees,"ST certificate, income, institution verification",State-implemented CSS,yes
AI-PMS-OBC,Post Matric Scholarship for OBC Students (CSS),All India,Ministry of Social Justice & Empowerment + States,"OBC, Income",Post-Matric,PG,As per state/center,OBC,All,Optional,Domicile of state,As per state,Recognized institution; income criteria,NSP / State,https://scholarships.gov.in,State-wise calendar,Maintenance + tuition/compulsory fees (limits apply),"OBC certificate, income, student ID",CSS with state quotas,yes
AI-PMS-EBC,Post Matric Scholarship for EBC Students (CSS),All India,Ministry of Social Justice & Empowerment + States,"EBC, Income",Post-Matric,UG/PG,As per state/center,EBC,All,Optional,Domicile of state,As per state,Non-reserved EBC as per norms,NSP / State,https://scholarships.gov.in,State-wise calendar,Allowances as per category & course group,"Income cert., domicile, institution cert.",Eligibility definitions vary by state,yes
AI-MOMA-PMM,Merit-cum-Means Scholarship for Professional/Technical Courses (Minorities),All India,Ministry of Minority Affairs,"Minority, Income",UG,PG,250000,Minority (as notified),All,Optional,India,As per MoMA,Merit + admission in professional/technical course,NSP,https://scholarships.gov.in,Usually Sep–Nov,Maintenance + course fee within ceilings,"Minority cert., income, admission proof",Renewable annually on performance,yes
